url,prjname,devName,price,priceD,sqFtPrD,reraId,propTypeD,lmtDName,waterStatus,postDateT,dimensions
150-Sq-ft-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423730343638333333,BBG Gold 5,Building Blocks Projects India Pvt Ltd,600000,6 Lac,4000.0,,Residential Plot,Shadnagar,,2024-05-21T23:39:13.000Z,40 X 50
267-Sq-yrd-Residential-Plot-FOR-Sale-Bogaram-in-Hyderabad&id=4d423730373039323031,Sandstone Pocharam County,Sandstone INFRA,4939500,49.4 Lac,2056.0,,Residential Plot,Bogaram,,2024-04-29T00:07:37.000Z,20 X 13.33
150-Sq-yrd-Residential-Plot-FOR-Sale-Aushapur-in-Hyderabad&id=4d423634313331333037,Pinewood Homes,Modi Builders & Realtors Pvt Ltd,2200000,22 Lac,1630.0,,Residential Plot,"Aushapur, NH 2 2",,2024-05-10T23:32:32.000Z,
150-Sq-yrd-Residential-Plot-FOR-Sale-Yadagirigutta-in-Hyderabad&id=4d423731323135383437,,,1650000,16.5 Lac,1222.0,,Residential Plot,Yadagirigutta,,2024-05-17T23:51:14.000Z,
200-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423731323135373635,Lorna Greens,Virtusa Lifespaces,3200000,32 Lac,1778.0,,Residential Plot,Shadnagar,,2024-05-10T23:45:05.000Z,
158-Sq-yrd-Residential-Plot-FOR-Sale-Kallakal-in-Hyderabad&id=4d423632343934393831,,,3081000,30.8 Lac,19500.0,,Residential Plot,Kallakal,,2024-05-21T23:37:19.000Z,3.16 X 50
240-Sq-yrd-Residential-Plot-FOR-Sale-Adibatla-in-Hyderabad&id=4d423730343536373331,,,4800000,48 Lac,20000.0,,Residential Plot,Adibatla,,2024-05-17T23:31:21.000Z,60 X 36
230-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423732383132303231,Lorna Greens,Virtusa Lifespaces,4000000,40 Lac,17391.0,,Residential Plot,Shadnagar,,2024-05-14T17:57:59.000Z,
150-Sq-yrd-Residential-Plot-FOR-Sale-Beeramguda-in-Hyderabad&id=4d423732353938353933,,,9000000,90 Lac,6667.0,,Residential Plot,Beeramguda Ramachandrapuram,,2024-05-02T04:05:30.000Z,
200-Sq-yrd-Residential-Plot-FOR-Sale-Enmulanara-in-Hyderabad&id=4d423730373037363631,,,2400000,24 Lac,1333.0,,Residential Plot,Enmulanara,,2024-05-18T00:11:45.000Z,18 X 11.11
200-Sq-yrd-Residential-Plot-FOR-Sale-Keesara-in-Hyderabad&id=4d423732313037353031,,,5400000,54 Lac,3000.0,,Residential Plot,Keesara,,2024-05-09T23:39:57.000Z,10 X 20
184-Sq-m-Residential-Plot-FOR-Sale-Shankarpalli-Rangareddi-in-Hyderabad&id=4d423731333335333135,,,7040000,70.4 Lac,38260.0,,Residential Plot,Shankarpalle Rangareddy,,2024-05-18T00:17:56.000Z,16.76 X 10.98
1485-Sq-ft-Residential-Plot-FOR-Sale-Rangapur-Shadnagar-in-Hyderabad&id=4d423732323934393035,,,1815000,18.2 Lac,1222.0,,Residential Plot,Rangapur Shadnagar,,2024-05-20T23:31:24.000Z,45 X 33
390-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423730393036373337,True Landmark 3 Phase 2,Building Blocks Group,5000000,50 Lac,1425.0,,Residential Plot,Shadnagar,,2024-05-17T23:42:01.000Z,
1485-Sq-ft-Residential-Plot-FOR-Sale-Shabad-in-Hyderabad&id=4d423636333437383337,Vian Jubilee Central,Vian Estates Pvt. Ltd.,3900000,39 Lac,2626.0,,Residential Plot,Shabad,,2024-05-18T00:47:12.000Z,45 X 33
1800-Sq-ft-Residential-Plot-FOR-Sale-Shankarpalli-Nawabpet-Vikarabad-Road-in-Hyderabad&id=4d423732393133353933,,,3600000,36 Lac,2000.0,,Residential Plot,Shankarpalli Nawabpet Vikarabad Road,,2024-05-21T07:04:38.000Z,36 X 50
175-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423731333738383735,Green Metro Haritavanam,,1750000,17.5 Lac,1111.0,,Residential Plot,Sadashivpet,,2024-05-20T00:18:14.000Z,
183-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423732333133363635,,,2584770,25.8 Lac,1569.0,,Residential Plot,Shadnagar,,2024-05-06T15:16:13.000Z,
151-Sq-yrd-Residential-Plot-FOR-Sale-Patancheru-in-Hyderabad&id=4d423730393539393035,,,1725000,17.3 Lac,11423.0,,Residential Plot,Patancheruvu,,2024-05-13T23:41:01.000Z,30 X 5.03
100-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423732383237353831,Shadnagar Downtown,Future Acres,600000,6 Lac,667.0,,Residential Plot,Shadnagar,,2024-05-15T13:28:41.000Z,25 X 36
202-Sq-yrd-Residential-Plot-FOR-Sale-Peddapur-in-Hyderabad&id=4d423732313234353333,,,5000000,50 Lac,2750.0,,Residential Plot,Peddapur,,2024-05-22T23:50:47.000Z,33 X 55
